match_id,batting_team,bowling_team,ball,runs,player_dismissed,city,venue
6,Australia,South Africa,15.4,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,15.5,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,15.6,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,16.1,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,16.2,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,16.3,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,16.4,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,16.5,2,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,16.6,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,17.1,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,17.2,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,17.3,6,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,17.4,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,17.5,0,AT Carey,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,17.6,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,17.7,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,18.1,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,18.2,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,18.3,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,18.4,0,MR Marsh,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,18.5,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,18.6,0,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,18.7,6,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,19.1,4,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,19.2,6,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,19.3,2,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,19.4,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,19.5,1,0,Johannesburg,The Wanderers Stadium
6,Australia,South Africa,19.6,4,0,Johannesburg,The Wanderers Stadium
8,South Africa,England,0.1,4,0,Centurion,SuperSport Park
8,South Africa,England,0.2,0,0,Centurion,SuperSport Park
8,South Africa,England,0.3,1,0,Centurion,SuperSport Park
8,South Africa,England,0.4,1,0,Centurion,SuperSport Park
8,South Africa,England,0.5,4,0,Centurion,SuperSport Park
8,South Africa,England,0.6,1,0,Centurion,SuperSport Park
8,South Africa,England,1.1,1,0,Centurion,SuperSport Park
8,South Africa,England,1.2,0,0,Centurion,SuperSport Park
8,South Africa,England,1.3,0,0,Centurion,SuperSport Park
8,South Africa,England,1.4,1,0,Centurion,SuperSport Park
8,South Africa,England,1.5,0,0,Centurion,SuperSport Park
8,South Africa,England,1.6,4,0,Centurion,SuperSport Park
8,South Africa,England,2.1,6,0,Centurion,SuperSport Park
8,South Africa,England,2.2,1,0,Centurion,SuperSport Park
8,South Africa,England,2.3,1,0,Centurion,SuperSport Park
8,South Africa,England,2.4,1,0,Centurion,SuperSport Park
8,South Africa,England,2.5,6,0,Centurion,SuperSport Park
8,South Africa,England,2.6,1,0,Centurion,SuperSport Park
8,South Africa,England,3.1,1,0,Centurion,SuperSport Park
8,South Africa,England,3.2,6,0,Centurion,SuperSport Park
